model,experiment,subject,accuracy,precision,recall,f1
rf,wrist_acc,S3,0.96875,0.9230769230769231,1.0,0.96
rf,wrist_acc,S4,0.7936507936507936,0.9166666666666666,0.4782608695652174,0.6285714285714286
rf,wrist_acc,S5,0.8125,0.9230769230769231,0.5217391304347826,0.6666666666666666
rf,wrist_acc,S6,0.7692307692307693,1.0,0.375,0.5454545454545454
rf,wrist_acc,S7,0.5,0.41818181818181815,1.0,0.5897435897435898
rf,wrist_acc,S8,0.5757575757575758,0.45714285714285713,0.64,0.5333333333333333
rf,wrist_acc,S9,0.859375,0.9375,0.6521739130434783,0.7692307692307693
rf,wrist_acc,S10,0.835820895522388,0.9411764705882353,0.6153846153846154,0.7441860465116279
rf,wrist_acc,S11,0.9104477611940298,0.9523809523809523,0.8,0.8695652173913043
rf,wrist_acc,S13,0.9242424242424242,0.8275862068965517,1.0,0.9056603773584906
rf,wrist_acc,S14,0.84375,0.8888888888888888,0.6666666666666666,0.7619047619047619
rf,wrist_acc,S15,0.7727272727272727,1.0,0.4,0.5714285714285714
rf,wrist_acc,S16,0.8,0.9230769230769231,0.5,0.6486486486486487
rf,wrist_acc,S17,0.8059701492537313,0.782608695652174,0.6923076923076923,0.7346938775510204
rf,wrist_eda,S2,0.8412698412698413,0.8823529411764706,0.6521739130434783,0.75
rf,wrist_eda,S3,0.703125,0.6086956521739131,0.5833333333333334,0.5957446808510638
rf,wrist_eda,S4,0.9523809523809523,1.0,0.8695652173913043,0.9302325581395349
rf,wrist_eda,S5,0.859375,0.7692307692307693,0.8695652173913043,0.8163265306122449
rf,wrist_eda,S6,0.8307692307692308,0.8095238095238095,0.7083333333333334,0.7555555555555555
rf,wrist_eda,S7,0.84375,0.8095238095238095,0.7391304347826086,0.7727272727272727
rf,wrist_eda,S8,0.9090909090909091,1.0,0.76,0.8636363636363636
rf,wrist_eda,S9,0.96875,1.0,0.9130434782608695,0.9545454545454546
rf,wrist_eda,S10,0.7761194029850746,0.8235294117647058,0.5384615384615384,0.6511627906976745
rf,wrist_eda,S11,0.7014925373134329,0.5555555555555556,1.0,0.7142857142857143
rf,wrist_eda,S13,0.7878787878787878,0.6388888888888888,0.9583333333333334,0.7666666666666667
rf,wrist_eda,S14,0.625,0.0,0.0,0.0
rf,wrist_eda,S15,0.9848484848484849,1.0,0.96,0.9795918367346939
rf,wrist_eda,S16,0.9384615384615385,1.0,0.8333333333333334,0.9090909090909091
rf,wrist_eda,S17,0.6119402985074627,0.5,0.11538461538461539,0.1875
rf,wrist_heart,S2,0.8412698412698413,0.782608695652174,0.782608695652174,0.782608695652174
rf,wrist_heart,S3,0.8125,0.75,0.75,0.75
rf,wrist_heart,S4,0.8888888888888888,1.0,0.6956521739130435,0.8205128205128205
rf,wrist_heart,S5,0.890625,0.7857142857142857,0.9565217391304348,0.8627450980392157
rf,wrist_heart,S6,0.6923076923076923,0.6111111111111112,0.4583333333333333,0.5238095238095238
rf,wrist_heart,S7,0.953125,0.9166666666666666,0.9565217391304348,0.9361702127659575
rf,wrist_heart,S8,0.9393939393939394,0.9565217391304348,0.88,0.9166666666666666
rf,wrist_heart,S9,0.6875,0.6666666666666666,0.2608695652173913,0.375
rf,wrist_heart,S10,0.582089552238806,0.4807692307692308,0.9615384615384616,0.6410256410256411
rf,wrist_heart,S11,0.9104477611940298,0.8275862068965517,0.96,0.8888888888888888
rf,wrist_heart,S13,0.8939393939393939,0.7741935483870968,1.0,0.8727272727272727
rf,wrist_heart,S14,0.859375,0.9411764705882353,0.6666666666666666,0.7804878048780488
rf,wrist_heart,S15,0.6818181818181818,0.5833333333333334,0.56,0.5714285714285714
rf,wrist_heart,S16,0.9384615384615385,0.8571428571428571,1.0,0.9230769230769231
rf,wrist_heart,S17,0.9701492537313433,0.9285714285714286,1.0,0.9629629629629629
